"Total_score"	"Unused_score"	"% Cov"	"% Cov (95)"	"Accession"	"Peptides(95%)"	"Proteome_type"	"Cell_line"	"Treatment"	"Compartment"
1,55	1,55	9,8	4,1	"sp|P54920|SNAA_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,54	1,54	4,9	0	"sp|P50213|IDH3A_HUMAN"	0	"PSMA3"	"Im9"	"K"	"N"
1,54	1,54	3,3	3,3	"sp|Q9BQE5|APOL2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,54	1,54	2,5	2,5	"sp|Q06265|EXOS9_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,53	1,53	26,7	8,1	"sp|O96000|NDUBA_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,52	1,52	15,9	5,7	"sp|P83731|RL24_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,52	1,52	3	3	"sp|O96008|TOM40_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,51	1,51	10,1	2	"sp|P49748|ACADV_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,5	1,5	8,2	3,8	"sp|Q8TC12|RDH11_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,68	1,49	24,4	10,2	"sp|P13762|DRB4_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
1,49	1,49	14	3,2	"sp|Q07666|KHDR1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,49	1,49	4,9	1,8	"sp|Q12996|CSTF3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,49	1,49	2,9	2,9	"sp|Q9NZ01|TECR_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,48	1,48	17,5	5,8	"sp|P19105|ML12A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,71	1,46	7,1	1,5	"sp|Q8TCJ2|STT3B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,43	1,43	19,3	6	"sp|P30519|HMOX2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,43	1,43	8,3	2,3	"sp|O95831|AIFM1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,41	1,41	4,2	2	"sp|P49368|TCPG_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,4	1,4	14,4	6,8	"sp|P25398|RS12_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,39	1,39	14,4	8	"sp|P62851|RS25_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,38	1,38	26,3	3,3	"sp|P63162|RSMN_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,37	1,37	11,7	4,9	"sp|P57088|TMM33_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,32	1,32	24	2,8	"sp|P63244|GBLP_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,31	1,31	10,7	0,9	"sp|P78347|GTF2I_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,31	1,31	4,9	4,9	"sp|Q9BVC6|TM109_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,3	1,3	7,7	5,1	"sp|P47985|UCRI_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
31,64	31,64	63,3	45,7	"sp|P07437|TBB5_HUMAN"	23	"PSMA3"	"Im9"	"K"	"C"
28,77	28,77	71,4	58	"sp|P25788|PSA3_HUMAN"	40	"PSMA3"	"Im9"	"K"	"C"
28,24	28,24	62,8	48,3	"sp|Q71U36|TBA1A_HUMAN"	22	"PSMA3"	"Im9"	"K"	"C"
27,46	27,46	70,7	53,1	"sp|P60709|ACTB_HUMAN"	29	"PSMA3"	"Im9"	"K"	"C"
25,83	25,83	53,1	10,9	"sp|P35579|MYH9_HUMAN"	16	"PSMA3"	"Im9"	"K"	"C"
21,74	21,74	50,3	19,5	"sp|P08238|HS90B_HUMAN"	11	"PSMA3"	"Im9"	"K"	"C"
16,44	16,44	57,6	27,1	"sp|P68104|EF1A1_HUMAN"	10	"PSMA3"	"Im9"	"K"	"C"
12,96	12,96	52,8	11,8	"sp|P11142|HSP7C_HUMAN"	6	"PSMA3"	"Im9"	"K"	"C"
12,89	12,89	42,6	15,3	"sp|P11940|PABP1_HUMAN"	7	"PSMA3"	"Im9"	"K"	"C"
12,42	12,42	28,8	6,2	"sp|P53621|COPA_HUMAN"	6	"PSMA3"	"Im9"	"K"	"C"
12,13	12,13	59,7	22,1	"sp|P06733|ENOA_HUMAN"	6	"PSMA3"	"Im9"	"K"	"C"
11,44	11,44	46,4	16,2	"sp|P61978|HNRPK_HUMAN"	5	"PSMA3"	"Im9"	"K"	"C"
19,87	10,13	53,7	15,6	"sp|P07900|HS90A_HUMAN"	9	"PSMA3"	"Im9"	"K"	"C"
9,78	9,78	72,2	21,3	"sp|P16152|CBR1_HUMAN"	5	"PSMA3"	"Im9"	"K"	"C"
9,44	9,44	48	18,7	"sp|P60842|IF4A1_HUMAN"	6	"PSMA3"	"Im9"	"K"	"C"
8,98	8,98	35,3	20,5	"sp|P43358|MAGA4_HUMAN"	6	"PSMA3"	"Im9"	"K"	"C"
8,88	8,88	37,8	8,7	"sp|P26641|EF1G_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
8,41	8,41	22,7	7,1	"sp|P13639|EF2_HUMAN"	4	"PSMA3"	"Im9"	"K"	"C"
8,28	8,28	33	5,7	"sp|P35606|COPB2_HUMAN"	4	"PSMA3"	"Im9"	"K"	"C"
8	8	23	18,4	"sp|P01892|1A02_HUMAN"	4	"PSMA3"	"Im9"	"K"	"C"
7,13	7,13	28	5	"sp|P78344|IF4G2_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
7	7	25,4	7,3	"sp|P11021|GRP78_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
6,43	6,43	18,6	13,4	"sp|P16989|YBOX3_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
6,21	6,21	36,1	6,3	"sp|P10809|CH60_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
6,2	6,2	33,7	5,9	"sp|P20591|MX1_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
6,17	6,17	18,5	18,5	"sp|P01903|DRA_HUMAN"	4	"PSMA3"	"Im9"	"K"	"C"
6,09	6,09	16,7	5,4	"sp|Q9BXP5|SRRT_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
24,53	6	61,4	42,2	"sp|P68366|TBA4A_HUMAN"	20	"PSMA3"	"Im9"	"K"	"C"
5,93	5,93	33,8	16,9	"sp|P20039|2B1B_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
5,76	5,76	16,5	1	"sp|P49327|FAS_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
5,74	5,74	18,1	5,1	"sp|Q9Y262|EIF3L_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
5,44	5,44	23,7	7,3	"sp|Q13263|TIF1B_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
5,19	5,19	22	3,1	"sp|Q8N163|CCAR2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,97	4,97	24,4	10,4	"sp|O60664|PLIN3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,96	4,96	28,1	6	"sp|P31943|HNRH1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,59	4,59	20,8	4,3	"sp|Q86UX7|URP2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,57	4,57	15,5	5,2	"sp|P55884|EIF3B_HUMAN"	4	"PSMA3"	"Im9"	"K"	"C"
4,44	4,44	20,9	4,2	"sp|Q00839|HNRPU_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,44	4,44	12,8	7,7	"sp|P55209|NP1L1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,39	4,39	32	6,2	"sp|P46781|RS9_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
4,34	4,34	32,4	4,9	"sp|P13796|PLSL_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,28	4,28	45,4	12,7	"sp|P04792|HSPB1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,28	4,28	53,1	16,6	"sp|P39019|RS19_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,26	4,26	39,7	14,4	"sp|P62249|RS16_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4,11	4,11	30,2	7,7	"sp|P00558|PGK1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4	4	12	3,1	"sp|P22314|UBA1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4	4	11,6	2,8	"sp|Q9H0D6|XRN2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4	4	13,3	3	"sp|Q5T6F2|UBAP2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4	4	31,9	13,7	"sp|P46782|RS5_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
4	4	18,1	8,5	"sp|P15880|RS2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
3,84	3,84	24,2	4,7	"sp|O00571|DDX3X_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
3,52	3,52	20,6	3,8	"sp|Q99613|EIF3C_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
3,49	3,49	11,4	3,3	"sp|Q14974|IMB1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
3,42	3,42	28,1	14,9	"sp|P08865|RSSA_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
3,39	3,39	22,1	10,3	"sp|P25786|PSA1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
3,18	3,18	13,4	6,6	"sp|Q15084|PDIA6_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
25,2	3,12	63,2	28,8	"sp|P68371|TBB4B_HUMAN"	17	"PSMA3"	"Im9"	"K"	"C"
3,08	3,08	19,9	1,6	"sp|Q9NZB2|F120A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
3	3	26,7	1	"sp|Q14152|EIF3A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,89	2,89	36,4	5,3	"sp|P61247|RS3A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,82	2,82	34,6	5,8	"sp|P62241|RS8_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,8	2,8	26,5	3,1	"sp|Q9Y265|RUVB1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,8	2,8	19,5	6,5	"sp|O14579|COPE_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,65	2,65	10,6	3,9	"sp|P49257|LMAN1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,61	2,61	19,4	5,2	"sp|O00170|AIP_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,57	2,57	18,5	7,6	"sp|P61224|RAP1B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,54	2,54	23,4	4,1	"sp|Q15907|RB11B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,52	2,52	15,9	2	"sp|P50990|TCPQ_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,51	2,51	15,9	1,8	"sp|P13010|XRCC5_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,46	2,46	9,2	4,6	"sp|O14828|SCAM3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,44	2,44	20	0,8	"sp|P48634|PRC2A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,37	2,37	8,1	1,4	"sp|O14980|XPO1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,37	2,37	30,7	9,9	"sp|Q15126|PMVK_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,35	2,35	21,4	2,4	"sp|P19338|NUCL_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,34	2,34	29,2	2,8	"sp|P08670|VIME_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,3	2,3	16,1	3	"sp|P27824|CALX_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,29	2,29	28,6	6	"sp|Q06830|PRDX1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,28	2,28	33,7	3	"sp|P14618|KPYM_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,28	2,27	12,2	1,8	"sp|P38646|GRP75_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
4,31	2,25	50	8,6	"sp|P13760|2B14_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
2,19	2,19	11,3	1,6	"sp|P55060|XPO2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,19	2,19	17,5	5,5	"sp|Q15366|PCBP2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,14	2,14	14,6	5,4	"sp|Q9UL46|PSME2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,13	2,13	7,9	0,5	"sp|P27708|PYR1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,11	2,11	11,2	3,4	"sp|Q9ULV4|COR1C_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,11	2,11	21,8	10,6	"sp|P69905|HBA_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,09	2,09	27,1	6,8	"sp|P51149|RAB7A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,06	2,06	14,7	1,7	"sp|Q9Y678|COPG1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,06	2,06	6,4	2,1	"sp|Q86X55|CARM1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
4,06	2,05	25,4	3,8	"sp|Q12931|TRAP1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
2,05	2,05	24,6	2,2	"sp|Q9Y230|RUVB2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,05	2,05	10,3	3,9	"sp|Q15008|PSMD6_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,04	2,04	27,8	6,5	"sp|P62826|RAN_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,03	2,03	15,6	4,1	"sp|Q9Y2Z0|SGT1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,01	2,01	18,7	5,7	"sp|O60711|LPXN_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2,01	2,01	8,2	3,6	"sp|P17980|PRS6A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
24,98	2	65,3	44,4	"sp|Q13748|TBA3C_HUMAN"	19	"PSMA3"	"Im9"	"K"	"C"
6,64	2	39,8	10,1	"sp|Q14240|IF4A2_HUMAN"	3	"PSMA3"	"Im9"	"K"	"C"
4,04	2	33,5	11,3	"sp|Q30134|2B18_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
2	2	7,6	0,5	"sp|Q92616|GCN1L_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	9,4	0,8	"sp|Q5VYK3|ECM29_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	23,7	2,3	"sp|Q9Y383|LC7L2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	24	4,7	"sp|P22234|PUR6_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	20	1,9	"sp|O14979|HNRDL_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	16,9	3	"sp|P50991|TCPD_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	28,6	5,6	"sp|P18124|RL7_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	12,5	2,4	"sp|P08133|ANXA6_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	19,4	3,6	"sp|Q9UBB4|ATX10_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	49,7	8,6	"sp|P62277|RS13_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	32,6	6,5	"sp|P61106|RAB14_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	10,1	1,2	"sp|P11586|C1TC_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	19,6	3,5	"sp|Q15738|NSDHL_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	20,2	4,3	"sp|P09651|ROA1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	23,4	8	"sp|Q9H0U4|RAB1B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	19,9	7	"sp|P60174|TPIS_HUMAN"	2	"PSMA3"	"Im9"	"K"	"C"
2	2	6,9	1,7	"sp|P49321|NASP_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	11,6	3,8	"sp|P31689|DNJA1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	5,9	2	"sp|Q6DD88|ATLA3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	4,2	1,7	"sp|Q13200|PSMD2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	21,4	6,2	"sp|P61254|RL26_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	25,7	5,8	"sp|P19105|ML12A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	11,5	4,4	"sp|P09972|ALDOC_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	8,9	2,7	"sp|A0AV96|RBM47_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	5,5	3,1	"sp|Q9H6V9|LDAH_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	11,4	4,8	"sp|Q96IU4|ABHEB_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	4,7	2,2	"sp|Q8IVD9|NUDC3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	12,5	6,8	"sp|Q07812|BAX_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	9,3	5,7	"sp|P61981|1433G_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	5,1	5,1	"sp|P47756|CAPZB_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	26	10,6	"sp|P42766|RL35_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	8,1	8,1	"sp|Q00577|PURA_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	4,4	4,4	"sp|P61962|DCAF7_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
2	2	5,7	5,7	"sp|P31946|1433B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
1,85	1,85	6,4	1	"sp|P07814|SYEP_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
1,82	1,82	21,1	2,3	"sp|Q53EL6|PDCD4_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
1,8	1,8	14,5	4,5	"sp|Q9Y266|NUDC_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
1,75	1,75	32,2	5,3	"sp|P62269|RS18_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
1,71	1,71	12,6	0,6	"sp|Q04637|IF4G1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
1,55	1,55	41,4	3,8	"sp|P62701|RS4X_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
1,47	1,47	8,2	4,2	"sp|P04899|GNAI2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
1,43	1,43	20,1	3,7	"sp|P27635|RL10_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
1,28	1,28	30,2	14	"sp|Q8TAP9|MPLKI_HUMAN"	1	"PSMA3"	"Im9"	"K"	"C"
22,27	22,27	55,3	37,3	"sp|P25788|PSA3_HUMAN"	17	"PSMA3"	"RPMI8226"	"CmC"	"N"
6,12	6,12	59,2	20,8	"sp|P04908|H2A1B_HUMAN"	3	"PSMA3"	"RPMI8226"	"CmC"	"N"
3,25	3,25	78,6	24,3	"sp|P62805|H4_HUMAN"	3	"PSMA3"	"RPMI8226"	"CmC"	"N"
2,31	2,31	17,2	2,3	"sp|P26641|EF1G_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"N"
2,02	2,02	32,5	3,2	"sp|Q5VTE0|EF1A3_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"N"
2,01	2,01	20,7	1,5	"sp|Q6S8J3|POTEE_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"N"
2	2	12,3	3	"sp|O43813|LANC1_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"N"
1,81	1,81	39,8	2,6	"sp|P11021|GRP78_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"N"
1,48	1,48	71,4	7,9	"sp|P58876|H2B1D_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"N"
22,77	22,77	46,3	43,9	"sp|P25788|PSA3_HUMAN"	17	"PSMA3"	"RPMI8226"	"CmC"	"C"
12,52	12,52	43,5	15,8	"sp|P26641|EF1G_HUMAN"	6	"PSMA3"	"RPMI8226"	"CmC"	"C"
11,78	11,78	32,9	18,4	"sp|Q5VTE0|EF1A3_HUMAN"	6	"PSMA3"	"RPMI8226"	"CmC"	"C"
10,83	10,83	36,8	10,4	"sp|P07900|HS90A_HUMAN"	5	"PSMA3"	"RPMI8226"	"CmC"	"C"
8,53	8,53	39,6	15,4	"sp|P06733|ENOA_HUMAN"	4	"PSMA3"	"RPMI8226"	"CmC"	"C"
7,45	7,45	37,9	9,4	"sp|P11142|HSP7C_HUMAN"	4	"PSMA3"	"RPMI8226"	"CmC"	"C"
6,14	6,14	34,9	12,8	"sp|P63261|ACTG_HUMAN"	3	"PSMA3"	"RPMI8226"	"CmC"	"C"
4,4	4,4	38,6	10,5	"sp|P16152|CBR1_HUMAN"	2	"PSMA3"	"RPMI8226"	"CmC"	"C"
4,24	4,24	52,3	15,4	"sp|Q93077|H2A1C_HUMAN"	2	"PSMA3"	"RPMI8226"	"CmC"	"C"
4	4	59,2	19,4	"sp|P62805|H4_HUMAN"	2	"PSMA3"	"RPMI8226"	"CmC"	"C"
2,93	2,93	33,1	7,7	"sp|P00558|PGK1_HUMAN"	2	"PSMA3"	"RPMI8226"	"CmC"	"C"
2,91	2,91	41,5	19,1	"sp|P22392|NDKB_HUMAN"	2	"PSMA3"	"RPMI8226"	"CmC"	"C"
10,78	2,58	42,1	10,5	"sp|P08238|HS90B_HUMAN"	5	"PSMA3"	"RPMI8226"	"CmC"	"C"
2,36	2,36	24,5	3,3	"sp|Q9BQE3|TBA1C_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"C"
2,2	2,2	29,8	5,8	"sp|P24534|EF1B_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"C"
2,19	2,19	25	6	"sp|P04075|ALDOA_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"C"
2,15	2,15	23,2	3	"sp|P14618|KPYM_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"C"
3,38	2,08	25,6	4,5	"sp|P0DMV9|HS71B_HUMAN"	2	"PSMA3"	"RPMI8226"	"CmC"	"C"
2,05	2,05	13,1	1,7	"sp|Q86YZ3|HORN_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"C"
2,01	2,01	13,8	3	"sp|O43813|LANC1_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"C"
2	2	12,2	12,2	"sp|P04080|CYTB_HUMAN"	1	"PSMA3"	"RPMI8226"	"CmC"	"C"
21,51	21,51	67,5	45,1	"sp|P25788|PSA3_HUMAN"	28	"PSMA3"	"RPMI8226"	"RB"	"N"
9,21	9,21	28,1	13,2	"sp|Q5VTE0|EF1A3_HUMAN"	5	"PSMA3"	"RPMI8226"	"RB"	"N"
8,4	8,4	20,9	10,4	"sp|P11940|PABP1_HUMAN"	5	"PSMA3"	"RPMI8226"	"RB"	"N"
7,73	7,73	49,6	17,9	"sp|P22626|ROA2_HUMAN"	4	"PSMA3"	"RPMI8226"	"RB"	"N"
6,41	6,41	25,4	10,5	"sp|P26641|EF1G_HUMAN"	4	"PSMA3"	"RPMI8226"	"RB"	"N"
5,82	5,82	25,4	9,6	"sp|P31943|HNRH1_HUMAN"	3	"PSMA3"	"RPMI8226"	"RB"	"N"
4,19	4,19	22,1	3,8	"sp|Q00839|HNRPU_HUMAN"	2	"PSMA3"	"RPMI8226"	"RB"	"N"
4	4	14,2	4,5	"sp|Q86YZ3|HORN_HUMAN"	2	"PSMA3"	"RPMI8226"	"RB"	"N"
3,61	3,61	22,9	6,9	"sp|P61978|HNRPK_HUMAN"	2	"PSMA3"	"RPMI8226"	"RB"	"N"
3,56	3,56	56,3	19,4	"sp|P62805|H4_HUMAN"	2	"PSMA3"	"RPMI8226"	"RB"	"N"
3,37	3,37	17	3,4	"sp|P43243|MATR3_HUMAN"	2	"PSMA3"	"RPMI8226"	"RB"	"N"
2,82	2,82	28,4	3,6	"sp|P07910|HNRPC_HUMAN"	1	"PSMA3"	"RPMI8226"	"RB"	"N"
2,8	2,8	17	5,8	"sp|P16152|CBR1_HUMAN"	1	"PSMA3"	"RPMI8226"	"RB"	"N"
2,53	2,53	15,3	2,6	"sp|P06576|ATPB_HUMAN"	1	"PSMA3"	"RPMI8226"	"RB"	"N"
2,2	2,2	48,5	6,9	"sp|P20671|H2A1D_HUMAN"	1	"PSMA3"	"RPMI8226"	"RB"	"N"
3,55	2,08	40,1	6,5	"sp|P09651|ROA1_HUMAN"	2	"PSMA3"	"RPMI8226"	"RB"	"N"
2	2	15,3	6,1	"sp|Q6UWP8|SBSN_HUMAN"	1	"PSMA3"	"RPMI8226"	"RB"	"N"
1,62	1,62	13,8	1,9	"sp|O14979|HNRDL_HUMAN"	1	"PSMA3"	"RPMI8226"	"RB"	"N"
1,47	1,47	14,3	3	"sp|O43813|LANC1_HUMAN"	1	"PSMA3"	"RPMI8226"	"RB"	"N"
34,3	34,3	74,1	45,1	"sp|P25788|PSA3_HUMAN"	44	"PSMA3"	"RPMI8226"	"RB"	"C"
18,51	18,51	34,8	21,5	"sp|P26641|EF1G_HUMAN"	9	"PSMA3"	"RPMI8226"	"RB"	"C"
17,83	17,83	64,6	39,7	"sp|P16152|CBR1_HUMAN"	10	"PSMA3"	"RPMI8226"	"RB"	"C"
16,62	16,62	34,3	12,2	"sp|P08238|HS90B_HUMAN"	6	"PSMA3"	"RPMI8226"	"RB"	"C"
16,26	16,26	37,6	14,6	"sp|P11940|PABP1_HUMAN"	7	"PSMA3"	"RPMI8226"	"RB"	"C"
15,67	15,67	47,6	26,8	"sp|Q5VTE0|EF1A3_HUMAN"	13	"PSMA3"	"RPMI8226"	"RB"	"C"
14,82	14,82	37,2	21,2	"sp|P07437|TBB5_HUMAN"	7	"PSMA3"	"RPMI8226"	"RB"	"C"
10,26	10,26	39,9	9	"sp|P11142|HSP7C_HUMAN"	5	"PSMA3"	"RPMI8226"	"RB"	"C"
9,99	9,99	37	18,6	"sp|P68363|TBA1B_HUMAN"	6	"PSMA3"	"RPMI8226"	"RB"	"C"
8,51	8,51	36,1	13	"sp|O43813|LANC1_HUMAN"	3	"PSMA3"	"RPMI8226"	"RB"	"C"
7,02	7,02	17,9	4,6	"sp|P35606|COPB2_HUMAN"	4	"PSMA3"	"RPMI8226"	"RB"	"C"
